playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated
27,22,2.0,3.0,371,Robert Lewandowski,Robert,Lewandowski,1988-08-21,Poland,Centre-Forward,,,2024-08-12T11:57:14Z,81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,Avenida Arístides Maillol s/n Barcelona 08028,http://www.fcbarcelona.com,1899,Red / Navy Blue / Orange,Camp Nou,2024-07-29T17:09:22Z
26,20,3.0,5.0,3374,Kylian Mbappé,Kylian,Mbappé,1998-12-20,France,Centre-Forward,,,2024-08-12T11:57:19Z,86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,"Avenida Concha Espina, 1 Madrid 28036",http://www.realmadrid.com,1902,White / Purple,Estadio Santiago Bernabéu,2022-02-19T08:59:31Z
28,15,2.0,7.0,2237,Ante Budimir,Ante,Budimir,1991-07-22,Croatia,Centre-Forward,,,2024-08-12T11:57:14Z,79,CA Osasuna,Osasuna,OSA,https://crests.football-data.org/79.png,"Calle del Sadar, s/n Pamplona 31006",http://www.osasuna.es,1920,Red / Navy Blue,Estadio El Sadar,2024-07-29T17:09:06Z
21,13,1.0,2.0,126878,Oihan Sancet,,Oihan Sancet,2000-04-25,Spain,Attacking Midfield,,,2024-08-12T11:57:14Z,77,Athletic Club,Athletic,ATH,https://crests.football-data.org/77.png,"Ibaigane, Alameda Mazarredo, 23 Bilbao 48009",http://www.athletic-club.eus,1898,Red / White / Black,San Mamés,2022-03-06T09:31:27Z
28,13,10.0,1.0,37428,Raphinha,,Raphinha,1996-12-14,Brazil,Left Winger,,7.0,2024-11-28T13:36:10Z,81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,Avenida Arístides Maillol s/n Barcelona 08028,http://www.fcbarcelona.com,1899,Red / Navy Blue / Orange,Camp Nou,2024-07-29T17:09:22Z
27,11,,2.0,33358,Kike García,,Kike García,1989-11-25,Spain,Centre-Forward,,,2024-08-12T11:57:15Z,263,Deportivo Alavés,Alavés,ALA,https://crests.football-data.org/263.png,"Mendizorroza, Paseo Cervantes, s/n Vitoria 01007",http://www.alaves.com,1921,Blue / White,Estadio de Mendizorroza,2022-02-19T08:23:45Z
27,11,2.0,1.0,8167,Alexander Sørloth,Alexander,Sørloth,1995-12-05,Norway,Centre-Forward,,,2024-08-12T11:57:14Z,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,"Paseo Virgen del Puerto, 67 Madrid 28005",http://www.clubatleticodemadrid.com,1903,Red / White / Blue,Estadio Wanda Metropolitano,2024-07-29T17:08:58Z
28,11,1.0,1.0,8128,Dodi Lukebakio,Dodi,Lukébakio,1997-09-24,Belgium,Right Winger,,,2024-08-12T11:57:15Z,559,Sevilla FC,Sevilla FC,SEV,https://crests.football-data.org/559.png,"Calle Sevilla Fútbol Club, s/n Sevilla 41005",http://www.sevillafc.es,1905,White / Red,Estadio Ramón Sánchez Pizjuán,2024-07-29T17:09:57Z
21,11,,,7936,Ayoze Pérez,,Ayoze Pérez,1993-07-29,Spain,Centre-Forward,,,2024-11-28T13:36:11Z,94,Villarreal CF,Villarreal,VIL,https://crests.football-data.org/94.png,"Camino Miralcamp, s/n Villarreal 12540",http://www.villarrealcf.es,1923,Yellow / Blue,Estadio de la Cerámica,2022-02-22T18:26:04Z
28,11,2.0,1.0,98571,Julián Álvarez,Julián,Alvarez,2000-01-31,Argentina,Centre-Forward,,,2024-08-23T09:25:15Z,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,"Paseo Virgen del Puerto, 67 Madrid 28005",http://www.clubatleticodemadrid.com,1903,Red / White / Blue,Estadio Wanda Metropolitano,2024-07-29T17:08:58Z
